year,author,method,reportScore,methodsScore
2011,Shau Wen-Yi,CCO,100,100
2011,Smirnakis K,CCO,100,50
2011,Song HJ,CCO,100,50
2011,Wang Jung-Der,CCO,100,100
2011,Wang Jung-Der,CCO,100,100
2011,Wang Sheng-Chang,CCO,100,50
2011,Wright AJ,CCO,100,100
2011,Wu Chi-Shin,CCO,100,50
2011,Yang Yao-Hsu,CCO,100,100
2011,Zhang Yuqing,CCO,100,50
2011,Aguinaga-Villasenor RG,SCCS,0,100
2011,Al-Shahi Salman R,SCCS,100,100
2011,Andrews N,SCCS,100,100
2011,Andrews N,SCCS,0,100
2011,Arthur A,SCCS,0,50
2011,Baggs JM,SCCS,0,100
2011,Barbosa MR,SCCS,0,100
2011,Barton G,SCCS,0,50
2011,Belongia EA,SCCS,0,100
2011,Bianchi C,SCCS,50,100
2011,Bryan P,SCCS,0,100
2011,Bulhoes MM,SCCS,0,100
2011,Ceron-Rodriguez M,SCCS,0,100
2011,Cesar ED,SCCS,0,100
2011,Chakraborty P,SCCS,0,100
2011,Chakraborty P,SCCS,0,100
2011,Correale J,SCCS,50,100
2011,Cortes MD,SCCS,0,100
2011,Coupland CAC,SCCS,0,50
2011,Coupland CAC,SCCS,50,100
2011,Crowcroft NS,SCCS,0,100
2011,Crowcroft NS,SCCS,50,100
2011,Crowcroft NS,SCCS,0,100
2011,Daley MF,SCCS,0,100
2011,de Carvalho FM,SCCS,0,100
2011,De Oliveira LH,SCCS,0,100
2011,de Oliveira MEP,SCCS,0,100
2011,Deeks SL,SCCS,0,100
2011,Deeks SL,SCCS,50,100
2011,degli Atti MC,SCCS,50,100
2011,DeStefano F,SCCS,0,100
2011,Dhiman P,SCCS,0,50
2011,Dorame-Castillo R,SCCS,0,100
2011,dos Santos AR,SCCS,0,100
2011,Drew L,SCCS,0,100
2011,Edwards KM,SCCS,0,100
2011,Escolano S,SCCS,0,100
2011,Esparza-Aguilar M,SCCS,0,100
2011,Farez MF,SCCS,50,100
2011,Farrington CP,SCCS,0,100
2011,Ferreira LB,SCCS,0,100
2011,Flannery B,SCCS,0,100
2011,Fojaco-Gonzalez F,SCCS,0,100
2011,Frova L,SCCS,50,100
2011,Gargiullo PM,SCCS,0,100
2011,Gladman J,SCCS,50,50
2011,Gladman J,SCCS,50,50
2011,Glanz JM,SCCS,0,100
2011,Glanz JM,SCCS,0,100
2011,Gribbin J,SCCS,50,50
2011,Gribbin J,SCCS,50,50
2011,Gutierrez-Ramirez SF,SCCS,0,100
2011,Gwini SM,SCCS,50,100
2011,Hambidge SJ,SCCS,0,100
2011,Hambidge SJ,SCCS,0,100
2011,Hawken S,SCCS,0,100
2011,Hawken S,SCCS,50,100
2011,Hawken S,SCCS,0,100
2011,Henningsen KH,SCCS,50,100
2011,Hernandez-Hernandez LD,SCCS,0,100
2011,Hill C,SCCS,0,100
2011,Hippisley-Cox J,SCCS,0,50
2011,Hubbard R,SCCS,50,50
2011,Hubbard R,SCCS,50,50
2011,Keelan J,SCCS,0,100
2011,Klein NP,SCCS,0,100
2011,Kwong JC,SCCS,0,100
2011,Kwong JC,SCCS,50,100
2011,Kwong JC,SCCS,0,100
2011,Lee Grace M,SCCS,0,100
2011,Lewis S,SCCS,50,50
2011,Lewis S,SCCS,50,50
2011,Lopez-Callada VR,SCCS,0,100
2011,Luna-Cruz ME,SCCS,0,100
2011,Maluf EMC,SCCS,0,100
2011,Manuel DG,SCCS,0,100
2011,Manuel DG,SCCS,50,100
2011,Manuel DG,SCCS,0,100
2011,Marquez AB,SCCS,0,100
2011,Martinez-Alcazar M,SCCS,0,100
2011,Massari M,SCCS,50,100
2011,Matus CR,SCCS,0,100
2011,McClure D,SCCS,0,100
2011,Mercado-Villegas B,SCCS,0,100
2011,Mesa J,SCCS,0,100
2011,Miller E,SCCS,100,100
2011,Miller E,SCCS,0,100
2011,Morgan TM,SCCS,0,100
2011,Morriss R,SCCS,0,50
